EmployeeNumber,Gender,City,JobTitle,AbsentHours
100,F,Burnaby,Baker,81.7411048
101,F,Victoria,Baker,51.75805976
102,F,New Westminster,Baker,121.0074252
103,F,Vancouver,Accounts Payable Clerk,48.37309828
104,M,Nanaimo,Baker,137.4598877
105,F,Victoria,Baker,98.5576777
106,M,Creston,Baker,0
107,F,Wynndel,Baker,44.00185941
108,M,Muncho Lake,Baker,0
109,F,Burnaby,Baker,39.10172396
110,F,Muncho Lake,Baker,138.9330403
111,M,New Westminster,Baker,63.03007856
112,M,Creston,Baker,98.3228922
113,M,Kitimat,Baker,56.30433228
114,F,Lac La Hache,Baker,25.46792975
115,F,Armstrong,Baker,96.88371667
116,F,Victoria,Baker,118.490501
117,F,New Westminster,Baker,34.02042059
118,F,Aldergrove,Baker,72.79408579
119,M,Vancouver,Accounts Payable Clerk,0
120,M,Abbotsford,Baker,0
121,F,Duncan,Baker,153.2632323
122,M,Duncan,Baker,0
123,M,Quesnel,Baker,53.84737103
124,F,Hixon,Baker,113.9617749
125,M,Fauquier,Baker,79.10668824
126,M,Surrey,Baker,29.98231177
127,F,Wynndel,Baker,68.40403177
128,F,Vancouver,Accounts Payable Clerk,30.99399888
129,F,Ocean Falls,Baker,0
130,M,West Vancouver,Baker,40.05948151
131,F,Vallican,Baker,49.65651125
132,F,North Pender Island,Baker,94.2773662
133,M,Victoria,Baker,58.09452779
134,M,Montney,Baker,62.16083824
135,M,Vancouver,Accounts Payable Clerk,30.45802032
136,F,Ganges,Baker,90.81179196
137,M,Vancouver,Accounts Receiveable Clerk,37.1157124
138,M,Vancouver,Accounts Receiveable Clerk,0
139,M,North Vancouver,Baker,63.18923992
140,M,Prince George,Baker,101.9347516
141,M,Burns Lake,Baker,45.48992662
142,F,Midway,Baker,124.2025327
143,M,Victoria,Baker,56.92397595
144,M,Vancouver,Accounts Receiveable Clerk,0
145,F,Vancouver,Accounts Receiveable Clerk,111.7755846
146,F,Vancouver,Accounts Receiveable Clerk,0
147,M,Westwold,Baker,96.260697
148,M,Victoria,Baker,58.15296878
149,F,Vancouver,Accounts Receiveable Clerk,40.14572515
150,F,Vananda,Baker,92.24730012
151,M,Terrace,Baker,116.0821581
152,M,Vancouver,Accounts Receiveable Clerk,24.50390384
153,M,New Westminster,Baker,17.06972082
154,F,Vancouver,Accounts Receiveable Clerk,90.16966119
155,M,Victoria,Baker,46.52578004
156,F,Golden,Baker,156.6886593
157,F,Port Coquitlam,Baker,14.38568387
158,F,Vernon,Baker,113.2580344
159,F,Hixon,Baker,159.968214
160,M,Sechelt,Baker,223.778841
161,F,Vancouver,Accounts Receiveable Clerk,0
162,M,New Westminster,Baker,79.12363725
163,M,White Rock,Baker,154.2577252
164,M,Aldergrove,Baker,0
165,M,Vancouver,Accounts Receiveable Clerk,0
166,F,Richmond,Baker,88.45913805
167,M,Muncho Lake,Baker,0
168,M,Whistler,Baker,95.49894843
169,M,Surrey,Baker,120.0797189
170,F,Vancouver,Accounts Receiveable Clerk,0
171,F,Logan Lake,Baker,0
172,F,Summerland,Baker,82.89702302
173,F,Victoria,Baker,121.3682638
174,M,Prince George,Baker,34.20118293
175,F,Vancouver,Auditor,69.47820963
176,M,Kelowna,Baker,56.19587246
177,F,New Westminster,Baker,61.49474478
178,F,Victoria,Baker,60.09046813
179,F,Victoria,Baker,66.31549844
180,M,North Vancouver,Baker,71.55570239
181,M,West Vancouver,Baker,33.94380532
182,F,Victoria,Baker,46.92397933
183,M,Langley,Baker,40.23300149
184,M,Port Coquitlam,Baker,29.16170217
185,F,Victoria,Baker,44.15691237
186,M,Vancouver,Auditor,47.51121024
187,M,Kamloops,Baker,0
188,F,Vancouver,Auditor,121.7851932
189,M,Victoria,Baker,31.13908709
190,F,New Westminster,Baker,79.22102251
191,F,Vancouver,Auditor,38.55781831
192,F,Chilliwack,Baker,0
193,F,Huntingdon,Baker,44.74428082
194,M,Nelson,Baker,93.42104381
195,M,Burnaby,Baker,96.65594514
196,M,Nanaimo,Baker,71.73266923
197,M,Yale,Baker,109.2478897
198,M,Aiyansh,Baker,12.57657646
199,M,Richmond,Baker,34.0739579
200,F,Penticton,Baker,154.8111128
201,M,Richmond,Baker,90.2876122
202,M,Victoria,Baker,113.0661266
203,F,Haney,Baker,106.5730043
204,F,New Westminster,Baker,12.10318321
205,M,Kamloops,Baker,84.32384993
206,M,Surrey,Baker,66.34602697
207,M,Richmond,Baker,0
208,F,Nelson,Baker,0
209,F,Bowen Island,Auditor,72.92419805
210,F,Vancouver,Auditor,0
211,M,Fort Langley,Baker,0
212,M,Clinton,Baker,33.52879809
213,M,Prince George,Baker,61.73170524
214,F,Cassiar,Baker,0
215,M,Victoria,Baker,111.0545762
216,M,Surrey,Baker,174.6845171
217,F,Vancouver,Auditor,46.77119065
218,M,Vancouver,Auditor,41.62491736
219,M,Victoria,Baker,95.4168043
220,M,Victoria,Baker,22.49132554
221,F,Kelowna,Baker,59.38794448
222,F,Vancouver,Auditor,57.22786992
223,M,Surrey,Baker,45.13933554
224,M,Victoria,Baker,50.51860074
225,M,Pender Harbour,Baker,62.15482382
226,F,New Westminster,Baker,16.055531
227,F,Kamloops,Baker,85.37866147
228,M,Vancouver,Auditor,0
229,M,Victoria,Baker,39.67547177
230,F,Parksville,Baker,57.18578016
231,F,Kamloops,Baker,38.10079038
232,F,Quesnel,Baker,118.5860854
233,M,Vancouver,Auditor,28.89700216
234,M,New Westminster,Baker,73.39635973
235,M,New Westminster,Baker,86.86241559
236,F,Richmond,Baker,106.7733033
237,M,West Vancouver,Baker,0
238,F,Mcleese Lake,Baker,107.8343573
239,M,Surrey,Baker,10.68473537
240,F,Fort St John,Baker,31.99564508
241,F,Campbell River,Baker,131.023489
242,M,West Vancouver,Baker,123.5629654
243,F,Wells,Baker,21.03904881
244,F,New Westminister,Baker,173.8371942
245,M,Vancouver,Bakery Manager,20.93704925
246,F,Manning Park,Baker,47.54204413
247,M,Vancouver,Bakery Manager,30.81552612
248,F,Decker Lake,Baker,27.60126686
249,F,Salmon Arm,Baker,152.1244924
250,F,Victoria,Baker,39.57679255
251,M,Burnaby,Baker,174.8647281
252,F,Prince George,Baker,4.006486432
253,M,Sooke,Baker,65.57723116
254,M,Vernon,Baker,0
255,F,Prince George,Baker,44.50048614
256,F,Horsefly,Baker,0
257,M,Invermere,Baker,91.35291618
258,F,Creston,Baker,59.95757031
259,F,New Westminster,Baker,28.53802654
260,F,Topley,Baker,112.6071529
261,M,Aldergrove,Baker,84.6091321
262,M,Vancouver,Bakery Manager,20.52608989
263,M,Vancouver,Bakery Manager,0
264,M,Armstrong,Baker,26.70137233
265,M,Field,Baker,28.78416405
266,F,New Westminster,Baker,40.49575113
267,M,Youbou,Baker,49.90548322
268,M,Fort St John,Baker,71.6224049
269,F,Kelowna,Baker,22.72600698
270,M,Nanaimo,Baker,20.11226488
271,M,Bowen Island,Bakery Manager,0
272,F,Surrey,Baker,75.60492624
273,M,Sorrento,Baker,3.026643536
274,M,Vancouver,Bakery Manager,18.76798501
275,M,Vancouver,Bakery Manager,122.660478
276,F,Surrey,Baker,28.39811691
277,F,Victoria,Baker,36.26095364
278,F,Victoria,Baker,73.9432002
279,M,Vancouver,Bakery Manager,85.85659878
280,F,Vancouver,Bakery Manager,74.28087994
281,M,Victoria,Baker,104.0283792
282,M,Victoria,Baker,0
283,M,Prince George,Baker,36.85759727
284,F,Merritt,Baker,38.29051282
285,M,Crawford Bay,Baker,28.63001058
286,F,Richmond,Baker,75.08140597
287,F,Rossland,Baker,146.0033861
288,F,New Westminster,Baker,46.67651007
289,M,Victoria,Baker,198.6057962
290,M,Sidney,Baker,0
291,M,New Westminster,Baker,76.71632648
292,F,Kamloops,Baker,0
293,M,Castlegar,Baker,0
294,M,Vancouver,Bakery Manager,101.1876391
295,M,Williams Lake,Baker,102.8105789
296,F,Vancouver,Bakery Manager,95.89296083
297,F,New Westminster,Baker,139.6920268
298,F,Kelowna,Baker,68.54001737
299,F,Pender Harbour,Baker,0
300,M,Victoria,Baker,44.49102502
301,M,Quesnel,Baker,0
302,F,Spences Bridge,Baker,68.6669675
303,M,Vancouver,Benefits Admin,57.20654368
304,M,New Westminster,Baker,0
305,M,West Vancouver,Cashier,83.18389739
306,M,Richmond,Baker,0
307,M,New Westminster,Baker,35.37072859
308,F,Vancouver,Benefits Admin,60.25250171
309,F,Vancouver,Benefits Admin,0
310,M,Aldergrove,Baker,65.69786089
311,M,Langley,Baker,86.27605733
312,M,Willow Point,Baker,75.85883594
313,F,Vancouver,Benefits Admin,113.9021614
314,F,Langley,Baker,40.50500469
315,F,Abbotsford,Baker,206.8713669
316,M,Penticton,Baker,35.57021837
317,F,Vancouver,Benefits Admin,42.15238664
318,M,New Westminster,Baker,107.7054315
319,F,Port Coquitlam,Baker,71.13512797
320,M,Kelowna,Baker,181.0606009
321,M,Vancouver,Benefits Admin,21.17797032
322,F,Vancouver,Compensation Analyst,0
323,M,Nelson,Baker,0
324,M,Vancouver,Compensation Analyst,0
325,F,Vancouver,Compensation Analyst,72.29939142
326,F,Surrey,Baker,90.58930376
327,M,North Vancouver,Baker,13.95236794
328,M,Richmond,Baker,43.26658309
329,F,North Vancouver,Baker,0
330,M,Aldergrove,Cashier,44.96931708
331,M,Woss,Baker,39.06571163
332,F,New Westminster,Baker,127.1518493
333,M,Cobble Hill,Baker,125.8763124
334,M,Lac La Hache,Baker,58.95419875
335,M,Victoria,Baker,129.270387
336,M,Bob Quinn Lake,Baker,90.27111205
337,M,Muncho Lake,Baker,73.93095013
338,M,Hedley,Baker,7.234942941
339,F,Sardis,Baker,145.8827831
340,F,Gold Bridge,Baker,23.06389
341,F,Victoria,Baker,50.69225157
342,F,Sparwood,Baker,87.10310132
343,M,Port Mcneill,Baker,79.00598166
344,F,Fort St John,Baker,92.24606666
345,F,Salmon Valley,Baker,207.3551542
346,F,Squamish,Baker,57.78513419
347,F,New Westminster,Baker,57.47130909
348,F,Victoria,Baker,75.48601993
349,F,Victoria,Baker,0
350,M,Kelowna,Baker,18.74347478
351,M,Vancouver,Compensation Analyst,120.3801664
352,M,Vancouver,Compensation Analyst,0
353,M,Vancouver,HRIS Analyst,127.1443971
354,M,Surrey,Baker,55.34484555
355,F,Vancouver,HRIS Analyst,0
356,M,Richmond,Baker,59.28582039
357,M,Chilliwack,Baker,105.1862002
358,F,Abbotsford,Cashier,120.2943088
359,M,New Westminister,Baker,96.19213879
360,F,Agassiz,Baker,146.0447595
361,M,Bob Quinn Lake,Baker,66.93209081
362,F,Vancouver,HRIS Analyst,75.94725642
363,F,Fort Langley,Baker,105.2258301
364,M,Horsefly,Baker,65.20146094
365,M,Kelowna,Baker,0
366,M,Avola,Cashier,115.6027095
367,F,Bear Lake,Baker,0
368,F,New Westminister,Baker,0
369,M,Cobble Hill,Baker,112.2035569
370,M,Nanaimo,Baker,0
371,M,North Vancouver,Baker,57.94548715
372,F,Vancouver,HRIS Analyst,63.21600345
373,F,Victoria,Baker,73.92678067
374,F,Williams Lake,Baker,33.07679923
375,M,Fauquier,Cashier,96.66844471
376,F,Brackendale,Baker,23.74644316
377,M,Nanaimo,Baker,71.23074099
378,M,Victoria,Baker,95.95336768
379,M,Victoria,Baker,125.8604413
380,M,Quesnel,Baker,114.4136166
381,M,Skookumchuck,Baker,43.80520345
382,F,Kamloops,Cashier,55.55237954
383,M,Huntingdon,Cashier,68.91000358
384,F,Victoria,Baker,0
385,M,Hedley,Baker,11.06662422
386,F,Prince George,Baker,125.8839935
387,M,New Westminster,Baker,19.45913802
388,F,Cranbrook,Baker,0
389,F,Gibsons,Cashier,75.3966086
390,F,Nanaimo,Baker,94.28295789
391,M,Vancouver,HRIS Analyst,0
392,F,Vancouver,Investment Analyst,110.1393004
393,M,Britannia Beach,Baker,123.0983087
394,M,Parksville,Baker,87.328194
395,M,Kamloops,Cashier,0
396,F,Campbell River,Baker,115.0429128
397,M,Comox,Baker,0
398,F,Victoria,Baker,159.1892618
399,F,Aldergrove,Cashier,128.5198368
400,M,Chilliwack,Baker,67.24244208
401,M,Victoria,Baker,0
402,M,Vancouver,Investment Analyst,0
403,F,Decker Lake,Baker,112.4176815
404,F,Brackendale,Baker,14.80722716
405,F,Victoria,Baker,19.82535074
406,M,Vancouver,Investment Analyst,0
407,F,Vancouver,Investment Analyst,0
408,F,Port Hardy,Baker,188.8059986
409,F,Burnaby,Baker,24.65164069
410,F,Williams Lake,Baker,38.97862104
411,M,Vancouver,Investment Analyst,0
412,F,Burnaby,Baker,0
413,M,Dawson Creek,Cashier,133.2494689
414,F,Flatrock,Baker,43.04919149
415,M,Abbotsford,Cashier,0
416,M,Vancouver,Labor Relations Analyst,31.5834116
417,F,Sechelt,Cashier,32.57782403
418,F,Princeton,Cashier,105.2711057
419,M,Kelowna,Baker,90.89500232
420,M,Fort Nelson,Baker,64.67104232
421,F,Woss,Baker,40.36260299
422,M,Vancouver,Labor Relations Analyst,0
423,M,Prince George,Baker,0
424,F,Kamloops,Cashier,21.78172758
425,M,New Westminster,Cashier,108.8888799
426,F,Surrey,Baker,111.6737578
427,M,Vancouver,Labor Relations Analyst,0
428,F,Vancouver,Labor Relations Analyst,126.5891578
429,M,New Westminster,Cashier,65.83063728
430,F,Vernon,Baker,89.09809241
431,F,Gibsons,Cashier,77.99267824
432,F,Victoria,Baker,162.071152
433,M,Slocan,Cashier,58.36254064
434,F,Abbotsford,Cashier,13.91972288
435,F,Lumby,Baker,202.2246554
436,F,Vancouver,Labor Relations Analyst,60.32133848
437,M,Surrey,Baker,154.2911492
438,M,Vancouver,Recruiter,73.09016728
439,M,Kamloops,Cashier,0
440,F,Vancouver,Recruiter,0
441,F,Decker Lake,Baker,59.13654597
442,M,New Westminster,Cashier,17.59603058
443,F,Chase,Cashier,50.37777309
444,F,Dawson Creek,Dairy Person,116.6489239
445,F,Sooke,Baker,104.0819056
446,M,Boston Bar,Baker,0
447,F,Port Alberni,Baker,114.5110495
448,M,Sparwood,Baker,12.2525326
449,M,Union Bay,Baker,124.1534025
450,F,Victoria,Baker,104.3010009
451,F,Francois Lake,Baker,0
452,F,Vancouver,Recruiter,88.62749636
453,M,Vancouver,Recruiter,77.57512672
454,F,Aldergrove,Cashier,0
455,F,New Westminster,Cashier,129.6330594
456,M,Richmond,Baker,84.82918503
457,F,Summerland,Baker,82.20343689
458,M,Mackenzie,Baker,22.62732579
459,F,Montney,Cashier,53.18199049
460,M,Chief Lake,Cashier,113.121154
461,F,New Westminster,Cashier,96.8403563
462,F,Vancouver,Recruiter,93.22573738
463,F,Burns Lake,Cashier,31.11766958
464,M,Vancouver,Systems Analyst,33.80789048
465,F,Port Alberni,Baker,164.0284577
466,F,Vancouver,Systems Analyst,68.6007296
467,F,Burnaby,Baker,74.59369024
468,M,Surrey,Baker,0
469,M,Vancouver,Systems Analyst,67.17936576
470,M,Westwold,Cashier,156.14084
471,F,Nelson,Cashier,142.841791
472,M,Vancouver,Systems Analyst,0
473,F,Abbotsford,Cashier,0
474,M,Vancouver,Systems Analyst,80.01481384
475,M,Kamloops,Cashier,9.282681016
476,M,Vancouver,Trainer,90.36785992
477,M,Kaslo,Baker,25.8851504
478,F,Williams Lake,Cashier,99.11984716
479,F,Invermere,Cashier,0
480,F,Vancouver,Trainer,30.62074579
481,F,Victoria,Baker,10.73407329
482,M,Creston,Cashier,70.64421821
483,M,Vancouver,Trainer,0
484,F,Surrey,Baker,23.91062766
485,F,Terrace,Baker,118.4473153
486,M,Vancouver,Trainer,50.27390576
487,M,Langley,Baker,11.80970768
488,M,Surrey,Baker,0.991869888
489,F,Beaver Valley,Cashier,37.08335291
490,M,Langley,Baker,0.026575364
491,M,Oyster River,Baker,0
492,M,Agassiz,Baker,37.15826466
493,M,Victoria,Baker,100.5049786
494,M,Vancouver,Trainer,106.1094726
495,M,Vancouver,Trainer,0
496,F,New Westminster,Cashier,67.65092244
497,M,D'arcy,Baker,129.7523563
498,F,Burnaby,Baker,76.99938789
499,M,Surrey,Baker,48.83862073
500,M,Winfield,Baker,52.38401943
501,F,Vancouver,Trainer,84.29653086
502,F,Vancouver,Trainer,57.05243648
503,F,Fort St John,Cashier,31.12032547
504,F,Logan Lake,Cashier,53.07672136
505,F,Vancouver,Trainer,0
506,F,New Westminster,Cashier,81.19967946
507,M,Burnaby,Baker,44.21056474
508,F,Prince George,Cashier,169.7687159
509,M,Williams Lake,Cashier,79.43810362
510,F,Aldergrove,Cashier,71.05758616
511,F,Campbell River,Baker,123.7022374
512,F,Haney,Baker,0
513,F,Fort St John,Cashier,83.60413285
514,M,Abbotsford,Cashier,0
515,F,Burnaby,Baker,45.31146625
516,F,Kamloops,Cashier,69.66174284
517,M,Woss,Cashier,26.03181751
518,M,North Vancouver,Cashier,50.58240885
519,F,Vancouver,Trainer,45.88654741
520,F,Vancouver,Baker,133.690146
521,F,Vancouver,Baker,96.21594145
522,M,Vancouver,Baker,52.62043385
523,M,Ganges,Cashier,44.00717881
524,F,Kamloops,Cashier,95.21097697
525,M,Vancouver,Baker,0
526,M,Bob Quinn Lake,Baker,13.60130395
527,M,Vernon,Cashier,0
528,F,New Westminster,Cashier,52.91264123
529,F,Victoria,Cashier,149.0636276
530,F,Vancouver,Baker,86.24173557
531,M,Vancouver,Baker,45.684955
532,F,Valemount,Baker,102.7724072
533,M,Burnaby,Baker,74.11078632
534,F,Kelowna,Baker,0
535,F,Kelowna,Baker,45.13770923
536,M,Vancouver,Baker,5.2918351
537,F,Vancouver,Baker,88.21703977
538,M,Terrace,Baker,62.93823977
539,F,Vancouver,Baker,0
540,M,Burnaby,Baker,63.66885587
541,M,Chilliwack,Cashier,13.76948611
542,F,Vancouver,Baker,127.2149817
543,F,Prince George,Cashier,107.6904896
544,F,White Rock,Baker,25.98804025
545,F,Vancouver,Baker,0
546,F,Castlegar,Cashier,45.84689659
547,M,Vancouver,Baker,20.06707787
548,M,Vernon,Cashier,50.61481444
549,F,Whistler,Baker,109.5534381
550,M,Vancouver,Baker,56.79406073
551,F,Vancouver,Baker,111.7492434
552,M,Nanaimo,Baker,76.81497588
553,M,Victoria,Cashier,41.39738438
554,M,Vancouver,Baker,50.99082253
555,M,Richmond,Baker,70.06987632
556,M,North Vancouver,Cashier,79.58073571
557,F,Kamloops,Cashier,106.0343282
558,M,Nelson,Cashier,42.16699012
559,F,Vancouver,Baker,0
560,M,Victoria,Cashier,92.4677711
561,F,Vancouver,Baker,107.6791991
562,F,Abbotsford,Cashier,69.39755984
563,M,Nelson,Cashier,23.99371415
564,F,Kaslo,Cashier,100.4658194
565,F,Port Alice,Baker,66.91552779
566,M,Burnaby,Baker,87.30318053
567,F,Victoria,Cashier,151.3251714
568,F,New Westminster,Cashier,33.08844526
569,F,Lakeview Heights,Baker,0
570,M,Vancouver,Baker,55.26121022
571,M,Campbell River,Baker,132.4559037
572,F,Vancouver,Baker,39.13895159
573,F,Kelowna,Baker,198.7234347
574,M,Surrey,Baker,148.7856636
575,M,Vancouver,Baker,0
576,M,Chilliwack,Cashier,0
577,M,Sidney,Cashier,56.42146954
578,M,Vancouver,Baker,82.68538048
579,F,North Vancouver,Cashier,29.58021189
580,F,Campbell River,Baker,37.66602476
581,M,Vallican,Cashier,64.28185134
582,F,Abbotsford,Cashier,84.39265414
583,F,Vancouver,Baker,120.4381332
584,M,Langley,Baker,12.67385607
585,F,New Westminster,Cashier,0
586,F,Chilliwack,Cashier,25.7281076
587,M,Victoria,Cashier,2.463030869
588,F,New Westminster,Cashier,77.95389827
589,F,Vancouver,Baker,143.0762254
590,F,Vancouver,Baker,129.2508488
591,F,Vancouver,Baker,119.243563
592,M,Vancouver,Baker,27.28258892
593,M,Vancouver,Baker,70.22163116
594,F,Victoria,Cashier,129.4246807
595,F,Vancouver,Baker,89.82506332
596,F,Duncan,Baker,8.67270521
597,F,Burnaby,Baker,166.1872276
598,F,Victoria,Cashier,3.092995468
599,M,Chilliwack,Cashier,17.19595292
600,F,Vancouver,Baker,0
601,F,Canal Flats,Cashier,70.02912644
602,M,Tofino,Baker,49.01027129
603,F,Port Coquitlam,Baker,92.27183558
604,F,Cobble Hill,Cashier,52.63937321
605,M,Quesnel,Baker,31.16580854
606,F,Vancouver,Baker,0
607,F,Vancouver,Baker,64.66700892
608,F,Golden,Cashier,94.62948564
609,M,Kelowna,Cashier,77.50679
610,M,Valemount,Cashier,40.25888671
611,M,Richmond,Cashier,0
612,F,Penticton,Cashier,73.44402215
613,F,Abbotsford,Cashier,79.84894034
614,M,Vancouver,Baker,55.3475486
615,F,Victoria,Cashier,149.1087377
616,F,Abbotsford,Cashier,62.31592662
617,M,Vancouver,Baker,61.32397197
618,F,North Vancouver,Cashier,110.0213338
619,M,Victoria,Cashier,23.81327626
620,M,Cranbrook,Cashier,50.58344539
621,M,Vancouver,Baker,10.00098837
622,F,Vancouver,Baker,43.5185533
623,M,Vancouver,Baker,24.08070269
624,M,Victoria,Cashier,39.53909314
625,M,Burnaby,Baker,107.627711
626,M,New Westminster,Cashier,83.23389246
627,M,Mayne Island,Cashier,119.0761724
628,F,Victoria,Cashier,67.85409646
629,M,Dawson Creek,Meat Cutter,94.33966008
630,M,Vancouver,Baker,47.79960394
631,M,Bamfield,Cashier,90.16103707
632,M,Vancouver,Baker,27.00050332
633,M,Vancouver,Baker,13.41053488
634,F,Chilako River,Cashier,14.04732975
635,M,Kelowna,Cashier,23.26252662
636,F,Cranbrook,Cashier,98.22382264
637,M,Penticton,Cashier,98.10510618
638,M,Fort Nelson,Baker,72.63041153
639,F,Port Coquitlam,Baker,3.736624942
640,F,Burnaby,Cashier,71.50318359
641,M,Duncan,Cashier,0
642,F,Surrey,Cashier,125.1801843
643,M,Terrace,Cashier,73.90899805
644,M,Vancouver,Baker,40.71008992
645,M,Nanaimo,Baker,73.0084095
646,M,Vancouver,Baker,148.1450701
647,F,Port Alberni,Cashier,107.7756323
648,M,Kelowna,Cashier,0
649,M,Whistler,Cashier,37.84075849
650,F,Burns Lake,Cashier,138.3473309
651,F,Richmond,Cashier,179.3053625
652,M,Terrace,Cashier,0
653,F,New Westminster,Cashier,136.4474861
654,M,Cranbrook,Cashier,53.54367021
655,M,Victoria,Cashier,51.18565834
656,F,Vancouver,Baker,6.649815483
657,F,Grasmere,Cashier,169.8414769
658,F,Vancouver,Baker,89.47811321
659,F,Vancouver,Baker,228.5654947
660,F,Port Coquitlam,Cashier,57.86665936
661,F,Fort Nelson,Baker,0
662,M,Langley,Baker,54.91209696
663,F,Westwold,Cashier,70.3645389
664,M,North Vancouver,Cashier,46.64495756
665,M,Clearwater,Cashier,2.252980018
666,F,Summerland,Cashier,152.1702365
667,F,Surrey,Cashier,0
668,M,Victoria,Cashier,115.7535971
669,F,Sooke,Cashier,0
670,F,Nelson,Cashier,0
671,M,Kelowna,Cashier,80.76202485
672,M,Burnaby,Cashier,28.66815863
673,M,Osoyoos,Cashier,78.53677421
674,M,Vancouver,Baker,0
675,M,New Westminster,Cashier,0
676,F,Vancouver,Baker,67.8535207
677,F,New Westminster,Cashier,48.33333378
678,F,Campbell River,Cashier,75.50700868
679,F,Prince George,Cashier,120.7898279
680,F,Vancouver,Baker,106.649651
681,M,Abbotsford,Cashier,76.82017321
682,F,New Westminster,Cashier,119.3182324
683,M,Campbell River,Cashier,128.0882016
684,M,Burnaby,Cashier,78.97267993
685,M,Grassy Plains,Cashier,73.85601473
686,F,Surrey,Cashier,82.202795
687,F,Vancouver,Baker,25.85396001
688,F,Vernon,Cashier,46.70401976
689,F,Campbell River,Cashier,125.5961334
690,M,North Vancouver,Cashier,132.5554185
691,M,Fulford Harbour,Cashier,146.8746366
692,F,Victoria,Cashier,36.37179924
693,F,Victoria,Cashier,11.96788343
